Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.7317246273953159,0.4962121212121212,0.7005347593582888,0.5809312638580931
Random Forest,0.7608232789212207,0.542528735632184,0.6310160427807486,0.5834363411619283
XGBoost,0.7508871540099361,0.5239085239085239,0.6737967914438503,0.5894736842105263
